frame,pelvis_x,pelvis_y,pelvis_z,pelvis_w,torso_x,torso_y,torso_z,torso_w,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_shoulder_w,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_shoulder_w,l_elbow_x,l_elbow_y,l_elbow_z,l_elbow_w,r_elbow_x,r_elbow_y,r_elbow_z,r_elbow_w,l_hip_x,l_hip_y,l_hip_z,l_hip_w,r_hip_x,r_hip_y,r_hip_z,r_hip_w,l_knee_x,l_knee_y,l_knee_z,l_knee_w,r_knee_x,r_knee_y,r_knee_z,r_knee_w
249,0.0,-0.14003117315632185,0.0,0.9901470954077805,0.4838435330261161,0.04568526462402542,-0.08215537948548551,0.8700912514021929,0.3830892671539593,0.20737274162568267,0.33434378398679965,0.8357352412884589,0.3693437546022667,-0.30012310128073666,-0.409467635679655,0.7783621074698116,0.0,0.0,-0.7863005694754548,0.6178441667949739,0.0,0.0,0.49674572428034663,0.867896125932818,0.013433450504866414,0.18292809988691408,0.9803945310896782,-0.07199594494654805,0.03363017080210594,0.20712680899055683,0.965097496385404,-0.1566981782913755,-0.4614641455104524,0.017314880144280873,0.03325788966131555,0.8863661490090723,-0.35117451607471156,-0.024906305299482373,-0.06621597191951904,0.9336335363935759
250,0.0,-0.1554096687477147,0.0,0.9878501074858096,0.4921760537427116,0.05007272408974797,-0.0879613007793723,0.864591385562963,0.3755176565883345,0.22005220775203357,0.3679353789782475,0.8216976769773632,0.2984079575777764,-0.3065849971448666,-0.4518186685032331,0.7828270697746137,0.0,0.0,-0.8401030899209705,0.5424267676887247,0.0,0.0,0.6624756503175023,0.7490834484464347,0.0649289602833278,-0.2393167343645373,0.9349680844910222,0.2536659451972379,0.008610342408344547,-0.45323366561300754,0.8911893550482679,0.016930440255930327,-0.47794323986903964,0.05249776840067091,0.0957350606159973,0.871578477215498,-0.06429172631033754,-0.009185459418160973,-0.14113675769642775,0.9878575893772613
251,0.0,-0.1858243593043378,0.0,0.9825829774065559,0.4805884537897934,0.05902187957932457,-0.1066537416170595,0.8684331495365323,0.40774480555009057,0.24035539194886094,0.41074454873630095,0.779270411854217,0.3211497716630374,-0.3105838002805681,-0.45168766523891385,0.7722556443530069,0.0,0.0,-0.8662260063022629,0.4996523851695617,0.0,0.0,0.6389357641669562,0.7692600920809475,-0.004093453803069614,0.009717344665989806,0.9215183184881139,0.3881917123528572,0.025553430279432902,-0.27831619432559107,0.9561279639763565,0.0877863012064024,-0.6307134011738694,0.08004615716544822,0.09718214199588865,0.7657341898987043,-0.2195382954596044,-0.03151500990039141,-0.13855579812921895,0.9652005137702968
252,0.0,-0.1921225753544414,0.0,0.9813709370259428,0.4558807742308926,0.053012452648725304,-0.1026238174918245,0.8825138818365483,0.4206170415956983,0.2506204466694621,0.39311108002348666,0.778289390132777,0.3436687522396732,-0.3607731153026905,-0.4727870991182198,0.7267784441741489,0.0,0.0,-0.8218046048471108,0.5697694195480169,0.0,0.0,0.6469585758541314,0.762525147866478,0.10070497283908288,-0.24066404124293161,0.8905471280096363,0.3726461330698181,0.10147813427936084,-0.40482784482493195,0.8814725763707506,0.22095859662817408,-0.3672397231408975,0.10876515164703988,0.26232185841330125,0.885715738898878,-0.15500302651411552,0.00210068626839612,0.01338749416004869,0.9878210485147504
254,0.0,-0.1710585121575691,0.0,0.9852608717585606,0.0654755232484526,-0.0005730335388632981,0.00873275827977364,0.9978157978408299,0.5489286604506274,0.22702753031709227,0.24951394353051196,0.7647735731560381,0.505983151062367,-0.15074396293744974,-0.5237830987074624,0.6685122093031057,0.0,0.0,-0.6134335590490364,0.7897463318258796,0.0,0.0,0.5309530872781021,0.8474012149565588,-0.007989579487329567,0.04077783809026035,0.98049375462566,0.19210760443141253,-0.014401425647527987,-0.22234959007567012,0.9728222466393521,-0.06300900868973883,-0.1318781011543231,-0.004723486805954028,-0.035481084329425296,0.9906194767735653,-0.0011261001502767464,4.800069750725254e-05,0.042586904126921725,0.9990921304821038
255,0.0,-0.15387594734305335,0.0,0.9880901744422307,0.060837818178445975,-0.0006886611894201519,0.011297929154772235,0.9980834846954769,0.4946255051037506,0.26283554879773063,0.24176781933756453,0.7923455089301726,0.5124561386718842,-0.15212886134924256,-0.4997606444720545,0.6815312272515196,0.0,0.0,-0.621155860102983,0.7836870532678994,0.0,0.0,0.5464457581925268,0.8374944975063385,-0.01313197664408498,0.08421298706759986,0.9844637500223473,0.1535149793684932,-0.02114609391675224,-0.1900655945944548,0.9755246449822961,-0.108533771222074,-0.15264682768951693,-0.01918074761798838,-0.12318973972762831,0.9803852982083019,0.0027828175246502403,-3.694645685121229e-05,0.01327541515910645,0.9999080047254033
256,0.0,-0.1431212191369581,0.0,0.9897051665181661,0.06395290593951827,-0.0007342829989592547,0.011457358450558877,0.9978868751455268,0.48175930186486104,0.2563332550420546,0.21363558916623412,0.8102845626493341,0.5164603517007499,-0.16711425159461932,-0.48437369065320135,0.6860930402198413,0.0,0.0,-0.5985199028932652,0.8011079364484142,0.0,0.0,0.5289111177549857,0.8486772233983729,-0.014539375934990722,0.10151612410833717,0.9846797200579971,0.14102812485439314,-0.019716615392015184,-0.14753488988780802,0.9801464609427875,-0.13098712320149816,-0.1761718282086359,-0.026571762628285353,-0.14675561570020987,0.9729954869560831,-0.03472918752110854,-0.00026593968786152054,-0.00765268294233968,0.9993674245511458
257,0.0,-0.13325212135068684,0.0,0.9910821722518985,0.04738852747416708,-0.0008131515046364386,0.017137441875985638,0.9987291796750548,0.4883689329881298,0.26661977288025396,0.20133796972461002,0.8061468253044786,0.5315324905772372,-0.17979454468177822,-0.48475206536502713,0.6709415535557266,0.0,0.0,-0.582438387309318,0.8128748519843143,0.0,0.0,0.5248686828424081,0.8511832151606818,-0.014748726422582216,0.10457566702273398,0.9846630162811103,0.13887098078377663,-0.017456357932094053,-0.11943314740071427,0.9822524003007042,-0.14356608573479723,-0.19402631778475082,-0.030238459110370212,-0.15099023506604728,0.9688350594978596,-0.06957246673896343,-0.0011139905652217,-0.01597109005669657,0.9974484223152981
258,0.0,-0.12772259732511676,0.0,0.9918099304466185,0.015975149496312093,-0.0003983564491042551,0.024925075449615895,0.9995615921615539,0.45933116814493835,0.2851054459064226,0.21322070881101524,0.8137976972314648,0.5405809479810839,-0.1692964492525781,-0.4720481002187917,0.6754861523600404,0.0,0.0,-0.6183186996640451,0.7859274684382551,0.0,0.0,0.5256745516134721,0.8506857620684474,-0.015011068279440742,0.10270267823372552,0.9841423238202257,0.14384267161887626,-0.014910832266368416,-0.0926261846815364,0.9829348211880872,-0.1582314579608278,-0.20208887325008,-0.028670254742374265,-0.13750592553504234,0.9692420875324553,-0.10030309362395234,-0.002868182386704706,-0.028439203408648302,0.9945462657155487
259,0.0,-0.12308666130720888,0.0,0.9923959259329134,0.042719447841692966,-0.0007512785633794966,0.017567560168846138,0.9989323626684317,0.41006806331929946,0.30391775849735964,0.19525290038490523,0.8374690945979929,0.5147905007009677,-0.1836728249529362,-0.45003165113650206,0.7062057396660048,0.0,0.0,-0.6401827944021543,0.7682226173131387,0.0,0.0,0.5141911051334342,0.8576756423040458,-0.014594687371297193,0.09984520043728103,0.9844345215015653,0.1438978940991061,-0.012829807137512186,-0.07358131654797662,0.9823851603144882,-0.17129092999268253,-0.20662544477650638,-0.0287260645938424,-0.13467081550686522,0.9686818415943271,-0.1271559689949825,-0.005744536596116745,-0.0447639659366854,0.990855462316206
260,0.0,-0.12244763141348801,0.0,0.9924749757859019,-0.000383364147097514,1.0466810847262744e-05,0.02729235691239422,0.999627420680597,0.20017530471507206,0.4299547050855484,0.21862912876316065,0.8528013268125751,0.27888965609397715,-0.16088874988452465,-0.49961623727105453,0.8041884016444726,0.0,0.0,-0.673553647305959,0.7391383390143146,0.0,0.0,0.7109471441887453,0.7032454466044322,-0.01562160057021545,0.10136016806271296,0.9831196966448839,0.1515181309111051,-0.007617053305267963,-0.03571744265417035,0.9773553102756936,-0.20842946592335168,-0.20502979708380842,-0.02605459246803427,-0.12334145857408256,0.9706033304681758,-0.1727031465621865,-0.015579374489056073,-0.08848308301107576,0.9808678046907773
